transaction_id,customer_id,timestamp,amount,country,channel,device,merchant_category,ip,is_anomaly,anomaly_type,hour,dayofweek,amount_log,time_since_last,amount_z,client_tx_count,pair_tx_count,merchant_freq,merchant_novelty,score,is_ml_flag,rule_night_high_amount,rule_new_country,ts_epoch,burst_count_10m,rule_burst,rule_travel,rule_duplicate,rule_count,is_rule_flag,is_flag
7493,1,2025-01-19 07:32:00,31.41,CH,branch,terminal,restaurant,192.168.7.4,False,normal,7,6,3.478467017153456,41100.0,-2.0890638642219344,33,5,0.15151515151515152,False,0.5365161083782634,False,False,False,1737271920,11.0,True,False,False,1,True,True
838,1,2025-01-18 20:07:00,46.59,CH,web,ios,travel,192.168.143.80,False,normal,20,5,3.862622655133019,134340.0,-1.7096733379152391,33,6,0.18181818181818182,False,0.3802487949464875,False,False,False,1737230820,10.0,True,False,False,1,True,True
6062,1,2025-03-13 02:11:00,54.63,CH,app,android,luxury,192.168.44.213,False,normal,2,3,4.018722624087202,286380.0,-1.5087313200294796,33,9,0.2727272727272727,False,0.3261197133500979,False,False,False,1741831860,28.0,True,False,False,1,True,True
1284,1,2025-03-14 01:52:00,57.15,CH,app,android,atm,192.168.154.59,False,normal,1,4,4.063025878964673,61020.0,-1.445749493527973,33,6,0.18181818181818182,False,0.31452745567712087,False,False,False,1741917120,31.0,True,False,False,1,True,True
1106,1,2025-01-17 06:48:00,58.11,CH,branch,terminal,luxury,192.168.146.222,False,normal,6,4,4.079400114836278,327180.0,-1.4217564167654944,33,9,0.2727272727272727,False,0.2661785061771049,False,False,False,1737096480,9.0,True,False,False,1,True,True
3493,1,2025-02-03 10:36:00,64.96,CH,app,ios,luxury,192.168.198.93,False,normal,10,0,4.189048497691398,28560.0,-1.250555816949891,33,9,0.2727272727272727,False,0.3034090815039159,False,False,False,1738578960,17.0,True,False,False,1,True,True
5174,1,2025-01-31 02:12:00,76.63,CH,branch,terminal,electronics,192.168.114.50,False,normal,2,4,4.351953950417589,731760.0,-0.9588899775560085,33,5,0.15151515151515152,False,0.5668331281571585,False,False,False,1738289520,14.0,True,False,False,1,True,True
2356,1,2025-02-03 02:40:00,91.28,CH,atm,android,atm,192.168.138.239,False,normal,2,0,4.524827433305553,11760.0,-0.592745629045265,33,6,0.18181818181818182,False,0.32389536331317104,False,False,False,1738550400,16.0,True,False,False,1,True,True
4806,1,2025-03-09 18:38:00,91.66,DE,app,ios,travel,192.168.6.79,False,normal,18,6,4.528936879988502,312180.0,-0.5832483694934506,33,6,0.18181818181818182,False,0.28569422992817384,False,False,False,1741545480,27.0,True,False,False,1,True,True
7475,1,2025-02-12 18:01:00,94.14,CH,app,ios,travel,192.168.24.131,False,normal,18,2,4.555349491004136,208200.0,-0.5212662545237137,33,6,0.18181818181818182,False,0.11542329469579621,False,False,False,1739383260,20.0,True,False,False,1,True,True
